,Unnamed: 0,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index,midi_spec_band_grain_id,midi_rms_grain_id,midi_mfcc_grain_id,dp_spec_band_grain_id,dp_rms_grain_id,dp_mfcc_grain_id,bz_scaled,speed_scaled
0,0,0,2.4,475.4,87800.0,-1.9,10.6,309.5,8,1601.0,687.0,799.0,1829.0,967.0,466.0,2258.2931669974487,1.213975332925226
1,1,300,2.24,475.36,96000.0,-1.5,10.58,308.18,8,514.0,1488.0,866.0,1835.0,965.0,1103.0,2286.645874681032,1.2139351912250242
2,2,600,2.02,466.64,85800.0,-1.84,10.66,312.98,9,1496.0,397.0,1988.0,1534.0,1833.0,938.0,2262.546073149986,1.2051843005810512
3,3,900,2.06,461.84,100340.0,-1.8,10.6,310.84,8,1923.0,1614.0,707.0,634.0,1127.0,1001.0,2265.381343918344,1.2003672965568457
4,4,1200,2.11,465.8,165140.0,-1.82,10.46,308.74,8,1520.0,1038.0,375.0,565.0,1767.0,613.0,2263.963708534165,1.2043413248768151
5,5,1500,1.96,467.72,99460.0,-1.6,10.38,310.54,8,1860.0,1730.0,380.0,1777.0,969.0,1166.0,2279.5576977601363,1.2062681264864974
6,6,1800,2.04,462.42,101520.0,-1.7,10.3,313.06,8,1350.0,717.0,111.0,1576.0,817.0,241.0,2272.46952083924,1.2009493512097704
7,7,2100,2.1,461.78,97020.0,-1.46,10.2,313.18,8,105.0,1199.0,1294.0,1452.0,400.0,1450.0,2289.4811454493906,1.200307084006543
8,8,2400,1.76,462.9,92600.0,-2.32,10.32,313.74,8,1994.0,1423.0,1057.0,1221.0,800.0,1137.0,2228.5228239296853,1.2014310516121909
9,9,2700,1.44,471.4,84440.0,-1.3,10.18,311.96,8,1899.0,1551.0,1742.0,571.0,842.0,1655.0,2300.822228522824,1.2099611629050548
10,10,3000,2.0,468.94,80300.0,-1.38,10.92,310.24,8,13.0,547.0,1457.0,1390.0,1280.0,601.0,2295.151686986107,1.2074924483426495
11,11,3300,2.18,472.69,89630.0,-1.6,11.08,310.6,8,632.0,676.0,1080.0,129.0,1126.0,1366.0,2279.5576977601363,1.21125573273656
12,12,3600,2.26,473.64,104000.0,-2.0,10.92,312.32,8,689.0,649.0,1968.0,1061.0,1385.0,986.0,2251.2049900765523,1.2122090981163507
13,13,3900,2.16,459.1,96820.0,-2.24,10.84,316.6,8,270.0,1391.0,26.0,1003.0,1148.0,600.0,2234.193365466402,1.1976175900930284
14,14,4200,2.18,465.2,104800.0,-2.46,11.0,316.34,8,772.0,214.0,788.0,1027.0,903.0,1389.0,2218.599376240431,1.2037391993737894
