,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
0,0,2.4,475.4,87800,-1.9,10.6,309.5,8
1,300,2.24,475.36,96000,-1.5,10.58,308.18,8
2,600,2.02,466.64,85800,-1.84,10.66,312.98,9
3,900,2.06,461.84,100340,-1.8,10.6,310.84,8
4,1200,2.11,465.8,165140,-1.82,10.46,308.74,8
5,1500,1.96,467.72,99460,-1.6,10.38,310.54,8
6,1800,2.04,462.42,101520,-1.7,10.3,313.06,8
7,2100,2.1,461.78,97020,-1.46,10.2,313.18,8
8,2400,1.76,462.9,92600,-2.32,10.32,313.74,8
9,2700,1.44,471.4,84440,-1.3,10.18,311.96,8
10,3000,2,468.94,80300,-1.38,10.92,310.24,8
11,3300,2.18,472.69,89630,-1.6,11.08,310.6,8
12,3600,2.26,473.64,104000,-2,10.92,312.32,8
13,3900,2.16,459.1,96820,-2.24,10.84,316.6,8
14,4200,2.18,465.2,104800,-2.46,11,316.34,8
15,4500,2.14,460.34,109740,-3.04,11.16,320.08,8
16,4800,2.16,459.76,110900,-2.82,11.02,318.48,8
17,5100,1.61,403.89,77560,-2.38,10.78,318.42,8
18,5400,2.38,450.48,123720,-3.08,10.66,324.48,8
19,5700,2.12,457.24,99240,-2.56,10.78,322.4,8
20,6000,2.2,460.64,109000,-1.84,10.6,321.42,8
21,6300,2.04,459.76,108760,-3.32,10.68,318.92,8
22,6600,1.66,467.62,128400,-3.68,10.78,315.38,8
23,6900,1.52,464.8,122600,-3.66,10.72,316.04,8
24,7200,0.96,390.95,92580,-2.74,10.56,320.28,8
25,7500,1.72,467.3,117200,-1.96,10.22,318.7,8
26,7800,1.64,454.92,127200,-3.28,10.3,322.44,8
27,8100,1.5,469.08,137000,-2.68,10.34,311.74,8
28,8400,1.46,470.38,118600,-4.12,10.42,320.02,8
29,8700,1.42,464.6,121940,-3.12,9.92,321.74,8
30,9000,1.16,447.62,125150,-4.72,10.22,328.24,8
31,9300,1.06,424.74,112420,-4.4,10.1,329.18,8
32,9600,1.28,464.04,106200,-4.2,10,327.18,8
33,9900,1.36,462.92,117200,-4.24,9.92,326.48,8
34,10200,1.2,468.34,117040,-4.28,9.92,325.32,8
35,10500,1.24,460.66,103120,-3.58,10.02,328.7,8
36,10800,1.24,460.1,118600,-3.86,9.94,324.24,8
37,11100,1.14,461,126160,-3.7,10.06,321.98,8
38,11400,1.28,466.26,117800,-3.36,10.2,321.12,8
39,11700,1.3,472.92,134600,-3.54,10.34,320.92,9
40,12000,1.34,473.52,136200,-3.92,10.2,322.38,8
41,12300,1.28,480.62,136200,-3.8,10.3,319.36,8
42,12600,1.18,482.54,133000,-3.86,10.18,319.54,8
43,12900,1.38,478.38,133200,-3.54,10.14,318.72,9
44,13200,1.28,486.27,146000,-4.38,10.18,318.6,9
45,13500,1.38,479.04,142400,-2.72,10,318.88,8
46,13800,1.42,480.66,136600,-3.08,9.98,317.58,8
47,14100,1.34,482.38,132400,-2.66,9.92,316.82,8
48,14400,1.34,478.26,125200,-1.94,9.9,317.84,8
49,14700,1.4,479.5,133600,-1.64,9.74,317.26,8
50,15000,1.44,479.03,132100,-1.92,9.72,318.48,8
51,15300,1.4,482.14,153600,-2.5,9.96,317.56,8
52,15600,1.38,478.48,139800,-3.76,9.8,319.64,8
53,15900,1.22,474.02,135600,-3.4,9.9,321.22,8
54,16200,1.36,471.44,145200,-3.2,9.84,320.72,8
55,16500,1.42,476.74,156600,-3.74,10.02,318.12,9
56,16800,1.56,478.58,146800,-4.08,10.18,319.88,8
57,17100,1.47,490.21,168000,-3.52,10.3,315.4,9
58,17400,1.46,473.4,145000,-3.38,10.38,321.16,8
59,17700,1.56,463.6,119800,-4.84,10.34,319.28,8
60,18000,1.58,466.78,123400,-4.84,10.48,317.2,7
61,18300,1.62,465.24,127200,-4.46,10.24,319.22,7
62,18600,1.62,467.72,125400,-4.12,10.14,316.68,7
63,18900,1.526666667,452.26,121520,-3.72,10.06,318.22,7
64,19200,1.073333333,395.72,77780,-2.46,9.9,318.96,7
65,19500,1.62,459.02,122600,-1.98,9.66,317.08,8
66,19800,1.34,460.8,129800,-4.76,9.68,323.92,7
67,20100,1.56,463.54,126000,-3.66,9.44,318.14,7
68,20400,1.78,459.14,118000,-2.98,9.4,317.92,7
69,20700,1.66,460.9,118800,-1.16,9.26,318.84,7
70,21000,1.96,482.46,157600,-1.48,10.56,314.08,7
71,21300,1.64,482.78,168800,-0.84,10.52,314.74,7
72,21600,1.48,479.28,155000,-1.52,10.38,316.3,8
73,21900,1.52,475.3,145200,-2.94,10.2,319.06,8
74,22200,1.52,473.64,128000,-3.06,10.06,320.06,8
75,22500,1.52,480.64,126000,-2.34,10.04,319.74,8
76,22800,1.66,488.88,144000,-2,9.96,314.2,8
77,23100,1.59,486.36,138400,-1.9,9.92,315.58,8
78,23400,1.56,478.42,125400,-0.42,9.82,316.2,8
79,23700,1.56,472,129000,-0.84,9.88,319.9,7
80,24000,1.46,470.52,125600,-1.56,9.88,319,8
81,24300,1.52,467.62,121200,-1.48,9.8,323.72,8
82,24600,1.52,465.64,126600,-1.36,9.78,319.98,8
83,24900,1.32,453.97,122580,-0.66,9.8,315.56,7
84,25200,1.1,443.04,134360,-2.8,9.72,308.1,8
85,25500,1.44,481.44,148200,-3.08,9.76,308.76,7
86,25800,1.5,486.24,166400,-3.7,9.8,305.66,8
87,26100,1.32,489.22,160400,-2.64,9.88,305.94,7
88,26400,1.2,483.72,159400,-1.86,9.76,307.32,7
89,26700,1.304210526,486.7147368,151705.2632,-1.577818182,9.919636364,306.0432727,7
90,27000,1.321052632,486.1736842,144526.3158,-1.681818182,9.763636364,310.2272727,8
91,27300,1.338596491,484.4017544,141631.5789,-1.663636364,9.427272727,314.7545455,8
92,27600,1.356140351,482.6298246,138736.8421,-1.645454545,9.090909091,319.2818182,7
93,27900,1.373684211,480.8578947,135842.1053,-1.627272727,8.754545455,323.8090909,7
94,28200,1.39122807,479.0859649,132947.3684,-1.609090909,8.418181818,328.3363636,8
95,28500,1.40877193,477.3140351,130052.6316,-1.590909091,8.081818182,332.8636364,7
96,28800,1.426315789,475.5421053,127157.8947,-1.572727273,7.745454545,337.3909091,8
97,29100,1.443859649,473.7701754,124263.1579,-1.554545455,7.409090909,341.9181818,7
98,29400,1.461403509,471.9982456,121368.4211,-1.536363636,7.072727273,346.4454545,8
99,29700,1.478947368,470.2263158,118473.6842,-1.518181818,6.736363636,350.9727273,7
100,30000,1.495789474,468.4852632,114694.7368,-1.362181818,7.800363636,341.3567273,8
101,30300,1.22,472.6,142800,-0.92,9.78,321.78,8
102,30600,1.24,467.68,139280,-0.56,9.64,323.96,8
103,30900,1.25,465.72,118200,-0.56,9.62,322.66,8
104,31200,1.34,464.92,131400,-1.24,9.68,321.84,8
105,31500,1.26,461.02,124720,-0.48,9.68,324.14,7
106,31800,0.88,463.2,118000,2.34,9.74,331.88,8
107,32100,0.9,471.24,144000,2.56,9.76,329.66,7
108,32400,0.94,471.08,123200,2.7,9.72,329.56,8
109,32700,0.86,469.74,143600,3.12,9.54,326.32,8
110,33000,0.93,478.57,158200,2.92,9.56,324.8,8
111,33300,0.82,475,146800,3.8,9.6,331.52,7
112,33600,0.82,466.82,150200,3.9,9.5,340.64,7
113,33900,0.76,465.98,167400,4.22,9.56,338.44,8
114,34200,0.96,470.24,186400,4.54,9.54,340.58,8
115,34500,0.9,467.66,173800,4.54,9.52,346,7
116,34800,0.86,466.54,165700,3.34,9.66,341.14,8
117,35100,1,471.38,166200,6.14,9.54,77.8,5
118,35400,1.08,475.38,221400,6.4,9.42,7.1,8
119,35700,0.88,478.54,211600,7.18,9.54,15.16,8
120,36000,0.78,472.82,162400,7.2,9.52,10.46,8
121,36300,0.82,476.82,178600,7.32,9.48,13.84,8
122,36600,0.76,488.52,163600,8.08,9.58,19.82,7
123,36900,0.78,490.89,168600,7.92,9.54,20.66,7
124,37200,0.88,480.6,199400,7.26,9.38,16.06,7
125,37500,1.1,471.6,174680,6.16,9.38,145.08,5
126,37800,1.28,473.8,162000,6.54,9.24,153.84,7
127,38100,1.14,472.18,139600,7.14,9.4,22,7
128,38400,1.04,471.04,152000,6.64,9.22,22.58,5
129,38700,0.84,466.34,162200,6.54,9.12,12.58,8
130,39000,1.02,465.46,139600,6.08,9.14,16.88,7
131,39300,1.1,459.6,112940,5.72,9.04,10.84,5
132,39600,1.02,462.9,92980,6.16,9.26,13.52,9
133,39900,1.04,461.78,131800,5.8,9,146.18,8
134,40200,1.06,457.86,119180,5.76,9.1,16.94,7
135,40500,1.08,467.38,99080,6.46,9.1,84.76,5
136,40800,0.74,486.63,152700,8.04,9.36,285.32,5
137,41100,0.66,485.86,124740,8.08,9.4,77.98,8
